year,sex,school_id,school_name,enrolment
1996,F,14,Singapore Polytechnic,5180.0
1996,MF,14,Singapore Polytechnic,13912.0
1997,F,14,Singapore Polytechnic,5143.0
1997,MF,14,Singapore Polytechnic,13755.0
1998,F,14,Singapore Polytechnic,5316.0
1998,MF,14,Singapore Polytechnic,13695.0
1999,F,14,Singapore Polytechnic,5352.0
1999,MF,14,Singapore Polytechnic,13581.0
2000,F,14,Singapore Polytechnic,5408.0
2000,MF,14,Singapore Polytechnic,13459.0
2001,F,14,Singapore Polytechnic,5521.0
2001,MF,14,Singapore Polytechnic,13754.0
2002,F,14,Singapore Polytechnic,5670.0
2002,MF,14,Singapore Polytechnic,14271.0
2003,F,14,Singapore Polytechnic,5562.0
2003,MF,14,Singapore Polytechnic,14371.0
2004,F,14,Singapore Polytechnic,5233.0
2004,MF,14,Singapore Polytechnic,13709.0
2005,F,14,Singapore Polytechnic,5019.0
2005,MF,14,Singapore Polytechnic,13353.0
2006,F,14,Singapore Polytechnic,5084.0
2006,MF,14,Singapore Polytechnic,13656.0
2007,F,14,Singapore Polytechnic,5249.0
2007,MF,14,Singapore Polytechnic,14399.0
2008,F,14,Singapore Polytechnic,5605.0
2008,MF,14,Singapore Polytechnic,14986.0
2009,F,14,Singapore Polytechnic,6034.0
2009,MF,14,Singapore Polytechnic,15523.0
2010,F,14,Singapore Polytechnic,6453.0
2010,MF,14,Singapore Polytechnic,15928.0
2011,F,14,Singapore Polytechnic,6432.0
2011,MF,14,Singapore Polytechnic,15949.0
2012,F,14,Singapore Polytechnic,6327.0
2012,MF,14,Singapore Polytechnic,15972.0
2013,F,14,Singapore Polytechnic,6167.0
2013,MF,14,Singapore Polytechnic,15878.0
2014,F,14,Singapore Polytechnic,6175.0
2014,MF,14,Singapore Polytechnic,15905.0
2015,F,14,Singapore Polytechnic,6022.0
2015,MF,14,Singapore Polytechnic,15297.0
2016,F,14,Singapore Polytechnic,5766.0
2016,MF,14,Singapore Polytechnic,14671.0
2017,F,14,Singapore Polytechnic,5611.0
2017,MF,14,Singapore Polytechnic,14298.0
2018,F,14,Singapore Polytechnic,5559.0
2018,MF,14,Singapore Polytechnic,14337.0
2019,F,14,Singapore Polytechnic,5520.0
2019,MF,14,Singapore Polytechnic,14209.0
2020,F,14,Singapore Polytechnic,5238.0
2020,MF,14,Singapore Polytechnic,13568.0
2021,F,14,Singapore Polytechnic,4972.0
2021,MF,14,Singapore Polytechnic,12880.0
2022,F,14,Singapore Polytechnic,4800.0
2022,MF,14,Singapore Polytechnic,12391.0
2023,F,14,Singapore Polytechnic,4984.0
2023,MF,14,Singapore Polytechnic,12590.0
2024,F,14,Singapore Polytechnic,5079.0
2024,MF,14,Singapore Polytechnic,12508.0
1982,F,10,Ngee Ann Polytechnic,1153.0
1982,MF,10,Ngee Ann Polytechnic,3660.0
1983,F,10,Ngee Ann Polytechnic,1650.0
1983,MF,10,Ngee Ann Polytechnic,4825.0
1984,F,10,Ngee Ann Polytechnic,2374.0
1984,MF,10,Ngee Ann Polytechnic,6919.0
1985,F,10,Ngee Ann Polytechnic,2993.0
1985,MF,10,Ngee Ann Polytechnic,8516.0
1986,F,10,Ngee Ann Polytechnic,3470.0
1986,MF,10,Ngee Ann Polytechnic,9617.0
1987,F,10,Ngee Ann Polytechnic,3910.0
1987,MF,10,Ngee Ann Polytechnic,10237.0
1988,F,10,Ngee Ann Polytechnic,4037.0
1988,MF,10,Ngee Ann Polytechnic,10448.0
1989,F,10,Ngee Ann Polytechnic,4477.0
1989,MF,10,Ngee Ann Polytechnic,11341.0
1990,F,10,Ngee Ann Polytechnic,4817.0
1990,MF,10,Ngee Ann Polytechnic,11995.0
1991,F,10,Ngee Ann Polytechnic,5316.0
1991,MF,10,Ngee Ann Polytechnic,12759.0
1992,F,10,Ngee Ann Polytechnic,5527.0
1992,MF,10,Ngee Ann Polytechnic,13330.0
1993,F,10,Ngee Ann Polytechnic,5473.0
1993,MF,10,Ngee Ann Polytechnic,13353.0
1994,F,10,Ngee Ann Polytechnic,5624.0
1994,MF,10,Ngee Ann Polytechnic,13637.0
1995,F,10,Ngee Ann Polytechnic,5858.0
1995,MF,10,Ngee Ann Polytechnic,14249.0
1996,F,10,Ngee Ann Polytechnic,6113.0
1996,MF,10,Ngee Ann Polytechnic,14480.0
1997,F,10,Ngee Ann Polytechnic,6169.0
1997,MF,10,Ngee Ann Polytechnic,14760.0
1998,F,10,Ngee Ann Polytechnic,6001.0
1998,MF,10,Ngee Ann Polytechnic,14300.0
1999,F,10,Ngee Ann Polytechnic,6211.0
1999,MF,10,Ngee Ann Polytechnic,14433.0
2000,F,10,Ngee Ann Polytechnic,6419.0
2000,MF,10,Ngee Ann Polytechnic,14378.0
2001,F,10,Ngee Ann Polytechnic,6623.0
2001,MF,10,Ngee Ann Polytechnic,14317.0
2002,F,10,Ngee Ann Polytechnic,6626.0
2002,MF,10,Ngee Ann Polytechnic,13989.0
2003,F,10,Ngee Ann Polytechnic,6534.0
2003,MF,10,Ngee Ann Polytechnic,13690.0
2004,F,10,Ngee Ann Polytechnic,6347.0
2004,MF,10,Ngee Ann Polytechnic,13417.0
2005,F,10,Ngee Ann Polytechnic,6500.0
2005,MF,10,Ngee Ann Polytechnic,13715.0
2006,F,10,Ngee Ann Polytechnic,6719.0
